video_id,title,description,link,city,cleaned_title,cleaned_description
SUJ8jnl3zfs,3 NYC Foods You Have To TRY Before You DIE 😱 #nyc,Food tour: https://bit.ly/FunkyExperiencesfood-tour-1 These are the best place to eat in nyc!,https://www.youtube.com/watch?v=SUJ8jnl3zfs,New York,3 NYC Foods You Have To TRY Before You DIE nyc,Food tour These are the best place to eat in nyc
Co-SRNUEKBs,Inside Tatiana by Kwame Onwuachi | New York’s Best New Restaurant,"Tour New York restaurant Tatiana by Kwame Onwuachi, winner of the Resy One To Watch Award 2023 as part of The World's 50 ...",https://www.youtube.com/watch?v=Co-SRNUEKBs,New York,Inside Tatiana by Kwame Onwuachi New Yorks Best New Restaurant,Tour New York restaurant Tatiana by Kwame Onwuachi winner of the Resy One To Watch Award 2023 as part of The Worlds 50
KGd-2tcNbiU,NYC’s Best New Restaurant is Reimagining Filipino Cuisine | On The Line | Bon Appétit,What we're doing here at Tadhana is we're reimagining what Filipino food can be.” Bon Appétit spends a day on the line with Chef ...,https://www.youtube.com/watch?v=KGd-2tcNbiU,New York,NYCs Best New Restaurant is Reimagining Filipino Cuisine On The Line Bon Apptit,What were doing here at Tadhana is were reimagining what Filipino food can be Bon Apptit spends a day on the line with Chef
WHlqm72HsJc,EVERYTHING you should do + EAT in NYC,"ALL the EATS, ACTIVITIES, + VIEWS I constantly post about my faves on IG + tiktok!! add me ;) @aaashleyk (aye aye ...",https://www.youtube.com/watch?v=WHlqm72HsJc,New York,EVERYTHING you should do EAT in NYC,ALL the EATS ACTIVITIES VIEWS I constantly post about my faves on IG tiktok add me aaashleyk aye aye
zg4-J0Dg3BE,This Is the Best Restaurant in New York City? | Gage &amp; Tollner,"Despite being almost 150 years old, Gage & Tollner is one of the most popular new restaurants in New York City. After closing in ...",https://www.youtube.com/watch?v=zg4-J0Dg3BE,New York,This Is the Best Restaurant in New York City Gage amp Tollner,Despite being almost 150 years old Gage Tollner is one of the most popular new restaurants in New York City After closing in
COe_nkRuNX8,Best restaurant in NYC,Raclette is my favorite restaurant in NYC and the perfect place for any cheese lover.,https://www.youtube.com/watch?v=COe_nkRuNX8,New York,Best restaurant in NYC,Raclette is my favorite restaurant in NYC and the perfect place for any cheese lover
5x_NRqnMVJU,Worth It? Eating and Rating TikTok&#39;s Most VIRAL NYC Foods 2024 (14 spots),These viral food spots get MILLIONS of views and bring in a lot of hype. But is it worth it? In this video we try 14 different viral spots ...,https://www.youtube.com/watch?v=5x_NRqnMVJU,New York,Worth It Eating and Rating TikTok39s Most VIRAL NYC Foods 2024 14 spots,These viral food spots get MILLIONS of views and bring in a lot of hype But is it worth it In this video we try 14 different viral spots
7B-U2ywlYKU,"Top 10 Michelin Star Restaurants in New York City, New York","If you're looking for the BEST places to eat when you visit New York City, look no further than this video! The choices listed are my ...",https://www.youtube.com/watch?v=7B-U2ywlYKU,New York,Top 10 Michelin Star Restaurants in New York City New York,If youre looking for the BEST places to eat when you visit New York City look no further than this video The choices listed are my
Iulv8AbdGwA,Eating at Don Angie. One of the Best Italian Restaurants in NYC. One Michelin Star,"I eat at and review the Michelin Starred Italian restaurant Don Angie, which is in Greenwich Village of New York City. Don Angie ...",https://www.youtube.com/watch?v=Iulv8AbdGwA,New York,Eating at Don Angie One of the Best Italian Restaurants in NYC One Michelin Star,I eat at and review the Michelin Starred Italian restaurant Don Angie which is in Greenwich Village of New York City Don Angie
_7UXWAV3vFQ,Eating at Anthony Bourdain&#39;s FAVORITE Restaurants in New York City,"Let's go on an NYC Food Tour of Anthony Bourdain's Favorite Restaurants! From Chinatown to the Upper East Side, find out ...",https://www.youtube.com/watch?v=_7UXWAV3vFQ,New York,Eating at Anthony Bourdain39s FAVORITE Restaurants in New York City,Lets go on an NYC Food Tour of Anthony Bourdains Favorite Restaurants From Chinatown to the Upper East Side find out
